,Gain Ratio,Dataset,Features,Threshold
0,0.15052133258355127,LongParameterList,NOP_method,0.028002180359771
1,0.009520844396361413,LongParameterList,CC_method,0.028002180359771
2,0.016770627109896356,LongParameterList,ATFD_method,0.028002180359771
3,0.009191893277156252,LongParameterList,FDP_method,0.028002180359771
4,0.010599876891034522,LongParameterList,CM_method,0.028002180359771
5,0.00891982145166991,LongParameterList,MAXNESTING_method,0.028002180359771
6,0.035607852728633343,LongParameterList,LOC_method,0.028002180359771
7,0.014907473289547087,LongParameterList,CYCLO_method,0.028002180359771
8,6.027567278058805e-06,LongParameterList,NMCS_method,0.028002180359771
9,0.07489173997906724,LongParameterList,NOLV_method,0.028002180359771
10,6.027567278058805e-06,LongParameterList,MaMCL_method,0.028002180359771
11,0.050010878798866766,LongParameterList,NOAV_method,0.028002180359771
12,0.026607394216175098,LongParameterList,LAA_method,0.028002180359771
13,0.011958990136915228,LongParameterList,FANOUT_method,0.028002180359771
14,0.01782702751309311,LongParameterList,CFNAMM_method,0.028002180359771
15,0.030022110888618794,LongParameterList,ATLD_method,0.028002180359771
16,0.014538997302166422,LongParameterList,CINT_method,0.028002180359771
17,6.027567278058805e-06,LongParameterList,MeMCL_method,0.028002180359771
18,0.02881333371688028,LongParameterList,CDISP_method,0.028002180359771
19,0.01337786437336022,LongParameterList,NOII_type,0.028002180359771
20,0.021364847248563225,LongParameterList,NOAM_type,0.028002180359771
21,0.017962712422553206,LongParameterList,NOCS_type,0.028002180359771
22,0.028594541433235688,LongParameterList,NOM_type,0.028002180359771
23,0.015509501690971598,LongParameterList,NMO_type,0.028002180359771
24,0.01970599946156765,LongParameterList,ATFD_type,0.028002180359771
25,0.021868421639297062,LongParameterList,FANOUT_type,0.028002180359771
26,0.01932621996540631,LongParameterList,NOMNAMM_type,0.028002180359771
27,0.02191586189289747,LongParameterList,NOA_type,0.028002180359771
28,0.0441483786930997,LongParameterList,NIM_type,0.028002180359771
29,0.005287995745071366,LongParameterList,DIT_type,0.028002180359771
30,0.056278328546617296,LongParameterList,LOC_type,0.028002180359771
31,0.057197137616200724,LongParameterList,LOCNAMM_type,0.028002180359771
32,0.05244276919309997,LongParameterList,CFNAMM_type,0.028002180359771
33,0.04531450797891377,LongParameterList,TCC_type,0.028002180359771
34,0.013604801100558174,LongParameterList,NOPA_type,0.028002180359771
35,0.022127341180129878,LongParameterList,CBO_type,0.028002180359771
36,0.037929731189094394,LongParameterList,RFC_type,0.028002180359771
37,0.027582196439497265,LongParameterList,NOC_type,0.028002180359771
38,0.03478987115904879,LongParameterList,WMC_type,0.028002180359771
39,0.05044408239800649,LongParameterList,LCOM5_type,0.028002180359771
40,0.02545641399878435,LongParameterList,WOC_type,0.028002180359771
41,0.0341457883630961,LongParameterList,WMCNAMM_type,0.028002180359771
42,0.059025459857488714,LongParameterList,AMW_type,0.028002180359771
43,0.051796516741214035,LongParameterList,AMWNAMM_type,0.028002180359771
44,0.031194733363203307,LongParameterList,NOCS_package,0.028002180359771
45,0.041503505026130136,LongParameterList,NOMNAMM_package,0.028002180359771
46,0.012452454118692722,LongParameterList,NOI_package,0.028002180359771
47,0.04417833525179467,LongParameterList,LOC_package,0.028002180359771
48,0.04271980749843104,LongParameterList,NOM_package,0.028002180359771
49,0.010105021110775195,LongParameterList,NOPK_project,0.028002180359771
50,0.01000809922182743,LongParameterList,NOCS_project,0.028002180359771
51,0.010008099221827431,LongParameterList,NOI_project,0.028002180359771
52,0.01000809922182743,LongParameterList,NOM_project,0.028002180359771
53,0.010008099221827431,LongParameterList,NOMNAMM_project,0.028002180359771
54,0.01000809922182743,LongParameterList,LOC_project,0.028002180359771
