,Gain Ratio,Dataset,Features,Threshold
0,0.02812852428876332,SwitchStatements,NOP_method,0.0384588829166404
1,0.01302743729404686,SwitchStatements,CC_method,0.0384588829166404
2,0.04695970426735411,SwitchStatements,ATFD_method,0.0384588829166404
3,0.0421372350294994,SwitchStatements,FDP_method,0.0384588829166404
4,0.01329522842396097,SwitchStatements,CM_method,0.0384588829166404
5,0.09699012188332651,SwitchStatements,MAXNESTING_method,0.0384588829166404
6,0.07991155650105265,SwitchStatements,LOC_method,0.0384588829166404
7,0.10091446937818203,SwitchStatements,CYCLO_method,0.0384588829166404
8,0.1283944045898788,SwitchStatements,NMCS_method,0.0384588829166404
9,0.06436184139966138,SwitchStatements,NOLV_method,0.0384588829166404
10,0.07984637004536832,SwitchStatements,MaMCL_method,0.0384588829166404
11,0.06758278785293283,SwitchStatements,NOAV_method,0.0384588829166404
12,0.04989563200691037,SwitchStatements,LAA_method,0.0384588829166404
13,0.04604689071454802,SwitchStatements,FANOUT_method,0.0384588829166404
14,0.05541359606576737,SwitchStatements,CFNAMM_method,0.0384588829166404
15,0.034182616692436024,SwitchStatements,ATLD_method,0.0384588829166404
16,0.048735264829110045,SwitchStatements,CINT_method,0.0384588829166404
17,0.07984637004536832,SwitchStatements,MeMCL_method,0.0384588829166404
18,0.06095141597293602,SwitchStatements,CDISP_method,0.0384588829166404
19,0.004869588636318327,SwitchStatements,NOII_type,0.0384588829166404
20,0.015575706888437287,SwitchStatements,NOAM_type,0.0384588829166404
21,0.011474001384028034,SwitchStatements,NOCS_type,0.0384588829166404
22,0.025487514579228168,SwitchStatements,NOM_type,0.0384588829166404
23,0.022567463283362385,SwitchStatements,NMO_type,0.0384588829166404
24,0.028400914210666383,SwitchStatements,ATFD_type,0.0384588829166404
25,0.02254178777103656,SwitchStatements,FANOUT_type,0.0384588829166404
26,0.020802182040029978,SwitchStatements,NOMNAMM_type,0.0384588829166404
27,0.016484154091703274,SwitchStatements,NOA_type,0.0384588829166404
28,0.03503444670157258,SwitchStatements,NIM_type,0.0384588829166404
29,0.009412024929729616,SwitchStatements,DIT_type,0.0384588829166404
30,0.05544198503239261,SwitchStatements,LOC_type,0.0384588829166404
31,0.05630982173378619,SwitchStatements,LOCNAMM_type,0.0384588829166404
32,0.05599347361481226,SwitchStatements,CFNAMM_type,0.0384588829166404
33,0.04565563097524557,SwitchStatements,TCC_type,0.0384588829166404
34,0.011961283845360472,SwitchStatements,NOPA_type,0.0384588829166404
35,0.023647017351719868,SwitchStatements,CBO_type,0.0384588829166404
36,0.04123027045737639,SwitchStatements,RFC_type,0.0384588829166404
37,0.010155197052214565,SwitchStatements,NOC_type,0.0384588829166404
38,0.04115629116600978,SwitchStatements,WMC_type,0.0384588829166404
39,0.04590712385656804,SwitchStatements,LCOM5_type,0.0384588829166404
40,0.03462865832202297,SwitchStatements,WOC_type,0.0384588829166404
41,0.04112514775842578,SwitchStatements,WMCNAMM_type,0.0384588829166404
42,0.05617864612675377,SwitchStatements,AMW_type,0.0384588829166404
43,0.059926278391089834,SwitchStatements,AMWNAMM_type,0.0384588829166404
44,0.016858374546899223,SwitchStatements,NOCS_package,0.0384588829166404
45,0.030190187573114098,SwitchStatements,NOMNAMM_package,0.0384588829166404
46,0.006705404184126715,SwitchStatements,NOI_package,0.0384588829166404
47,0.03163988816349072,SwitchStatements,LOC_package,0.0384588829166404
48,0.03110344559626512,SwitchStatements,NOM_package,0.0384588829166404
49,0.011992353616820037,SwitchStatements,NOPK_project,0.0384588829166404
50,0.011632165850702418,SwitchStatements,NOCS_project,0.0384588829166404
51,0.011632165850702418,SwitchStatements,NOI_project,0.0384588829166404
52,0.011632165850702418,SwitchStatements,NOM_project,0.0384588829166404
53,0.011632165850702418,SwitchStatements,NOMNAMM_project,0.0384588829166404
54,0.011632165850702418,SwitchStatements,LOC_project,0.0384588829166404
