,Gain Ratio,Dataset,Features,Threshold
0,0.06870180883528297,LongMethod,NOP_method,0.05291161297206692
1,0.0056358059357382445,LongMethod,CC_method,0.05291161297206692
2,0.07039519722079166,LongMethod,ATFD_method,0.05291161297206692
3,0.09347580657689611,LongMethod,FDP_method,0.05291161297206692
4,0.008191884004502369,LongMethod,CM_method,0.05291161297206692
5,0.20748714918772004,LongMethod,MAXNESTING_method,0.05291161297206692
6,0.1015007464784534,LongMethod,LOC_method,0.05291161297206692
7,0.14492732504337016,LongMethod,CYCLO_method,0.05291161297206692
8,0.0878745482616195,LongMethod,NMCS_method,0.05291161297206692
9,0.12025598510068751,LongMethod,NOLV_method,0.05291161297206692
10,0.08907542733177103,LongMethod,MaMCL_method,0.05291161297206692
11,0.09847358186552786,LongMethod,NOAV_method,0.05291161297206692
12,0.07890839829226436,LongMethod,LAA_method,0.05291161297206692
13,0.08700603731640029,LongMethod,FANOUT_method,0.05291161297206692
14,0.09230293915665262,LongMethod,CFNAMM_method,0.05291161297206692
15,0.059319994160760836,LongMethod,ATLD_method,0.05291161297206692
16,0.08875641526115467,LongMethod,CLNAMM_method,0.05291161297206692
17,0.09046325441582745,LongMethod,CINT_method,0.05291161297206692
18,0.08599725581157638,LongMethod,MeMCL_method,0.05291161297206692
19,0.09497199177023342,LongMethod,CDISP_method,0.05291161297206692
20,0.008217247391090537,LongMethod,NOII_type,0.05291161297206692
21,0.02962610719543425,LongMethod,NOAM_type,0.05291161297206692
22,0.022232393807917746,LongMethod,NOCS_type,0.05291161297206692
23,0.038742896678641496,LongMethod,NOM_type,0.05291161297206692
24,0.020648466731618787,LongMethod,NMO_type,0.05291161297206692
25,0.05453588120565998,LongMethod,ATFD_type,0.05291161297206692
26,0.046127497256910885,LongMethod,FANOUT_type,0.05291161297206692
27,0.03826753157981777,LongMethod,NOMNAMM_type,0.05291161297206692
28,0.04213003716781227,LongMethod,NOA_type,0.05291161297206692
29,0.04953945551766627,LongMethod,NIM_type,0.05291161297206692
30,0.011872531367244145,LongMethod,DIT_type,0.05291161297206692
31,0.07663344501743108,LongMethod,LOC_type,0.05291161297206692
32,0.07731395236109896,LongMethod,LOCNAMM_type,0.05291161297206692
33,0.054711502198190244,LongMethod,CFNAMM_type,0.05291161297206692
34,0.06584358516240085,LongMethod,TCC_type,0.05291161297206692
35,0.027338057410800917,LongMethod,NOPA_type,0.05291161297206692
36,0.042866970453567486,LongMethod,CBO_type,0.05291161297206692
37,0.05102945294314651,LongMethod,RFC_type,0.05291161297206692
38,0.033604809076266964,LongMethod,NOC_type,0.05291161297206692
39,0.07017725390395302,LongMethod,WMC_type,0.05291161297206692
40,0.07069311569840397,LongMethod,LCOM5_type,0.05291161297206692
41,0.04850310791813393,LongMethod,WOC_type,0.05291161297206692
42,0.07380372368508037,LongMethod,WMCNAMM_type,0.05291161297206692
43,0.08232399088900878,LongMethod,AMW_type,0.05291161297206692
44,0.08567288195612366,LongMethod,AMWNAMM_type,0.05291161297206692
45,0.03739153176741615,LongMethod,NOCS_package,0.05291161297206692
46,0.061307905025160814,LongMethod,NOMNAMM_package,0.05291161297206692
47,0.03281653401977844,LongMethod,NOI_package,0.05291161297206692
48,0.07128731219088437,LongMethod,LOC_package,0.05291161297206692
49,0.06279648429090448,LongMethod,NOM_package,0.05291161297206692
50,0.017077461261661094,LongMethod,NOPK_project,0.05291161297206692
51,0.023213485471533516,LongMethod,NOCS_project,0.05291161297206692
52,0.01904004824088293,LongMethod,NOI_project,0.05291161297206692
53,0.023052241168450123,LongMethod,NOM_project,0.05291161297206692
54,0.023052241168450085,LongMethod,NOMNAMM_project,0.05291161297206692
55,0.02305224116845011,LongMethod,LOC_project,0.05291161297206692
56,0.05004450233296175,LongMethod,isStatic_type,0.05291161297206692
57,0.04074049764542202,LongMethod,number_private_visibility_attributes,0.05291161297206692
58,0.04389679613989409,LongMethod,number_protected_visibility_attributes,0.05291161297206692
59,0.025708391452512063,LongMethod,number_package_visibility_attributes,0.05291161297206692
60,0.048442104355854776,LongMethod,num_final_attributes,0.05291161297206692
61,0.04650218612473369,LongMethod,num_static_attributes,0.05291161297206692
62,0.038358418544942395,LongMethod,num_final_static_attributes,0.05291161297206692
63,0.03152384865467192,LongMethod,num_not_final_not_static_attributes,0.05291161297206692
64,0.04697980336969897,LongMethod,num_final_not_static_attributes,0.05291161297206692
65,0.024980588178286595,LongMethod,num_static_not_final_attributes,0.05291161297206692
66,0.027383329376863757,LongMethod,number_public_visibility_methods,0.05291161297206692
67,0.035885832401140835,LongMethod,number_private_visibility_methods,0.05291161297206692
68,0.04049112284558282,LongMethod,number_protected_visibility_methods,0.05291161297206692
69,0.05090260680409226,LongMethod,number_package_visibility_methods,0.05291161297206692
70,0.05343710863405106,LongMethod,number_final_methods,0.05291161297206692
71,0.041324414980492954,LongMethod,number_abstract_methods,0.05291161297206692
72,0.03472941187359413,LongMethod,number_not_abstract_not_final_methods,0.05291161297206692
73,0.03651936437729565,LongMethod,number_static_methods,0.05291161297206692
74,0.03563075521516054,LongMethod,number_final_static_methods,0.05291161297206692
75,0.05734826434010109,LongMethod,number_final_not_static_methods,0.05291161297206692
76,0.037444416804830565,LongMethod,number_not_final_static_methods,0.05291161297206692
77,0.0411053885048258,LongMethod,number_not_final_not_static_methods,0.05291161297206692
78,0.041038187653359356,LongMethod,number_standard_design_methods,0.05291161297206692
79,0.0018312147211224483,LongMethod,number_constructor_DefaultConstructor_methods,0.05291161297206692
